Sr No,Date,StartUp,Vertical,Subvertical,Location,Investors,Round,Amount
880,2017-11-04,mergerware,Technology,Software solutions for M&As,Bangalore,philippe bouchet,Seed Funding,0.8557
881,2017-11-04,sports flashes,Consumer Internet,Online Sports portal & Mobile app,New Delhi,sushil kumar sandeep singh,Seed Funding,0.0
882,2017-12-04,clovia,eCommerce,Online lingerie & Sleepwear etailer,New Delhi,ivycap advisors singularity and ravi dhariwal,Private Equity,34.228
883,2017-12-04,emiza,Logistics,Third Party Logistics provider,Mumbai,mayfield nishant rao dileep nath,Private Equity,38.506499999999996
884,2017-12-04,hackerearth,Consumer Internet,Online Skill Assessment Platform,Bangalore,dhi group prime venture partners beenext beenos digital garage bizreach,Private Equity,38.506499999999996
885,2017-12-04,squadrun,Technology,Software-As-a-Service Platform,Noida,blume contrarian capital 91springboard emergent abstract anthill axilor,Private Equity,17.9697
886,2017-12-04,tinmen,Consumer Internet,Food Delivery Platform,Hyderabad,mape advisory group r ramaraj corvus,Seed Funding,0.0
887,2017-12-04,scoutmytrip,Consumer Internet,Online Travel planner,Mumbai,z nation lab,Seed Funding,0.0
888,2017-04-13,safetykart,eCommerce,Safety & Hygiene Products etailer,Gurgaon,redcliffe capital,Private Equity,0.0
889,2017-04-13,weareholidays,Consumer Internet,Travel Packages & Planner marketplace,Gurgaon,urrshila kerkar,Private Equity,65.8889
890,2017-04-14,ola cabs,Consumer Internet,Cab Aggregator App,Bangalore,simi pacific pte,Private Equity,2224.82
891,2017-04-15,myly,Consumer Internet,Mobile App for Schools,Jaipur,mall industries development bank of india sidbi,Seed Funding,2.6526699999999996
892,2017-04-17,credihealth,Consumer Internet,Online Medical Assistance platform,Gurgaon,tolaram mountain pine capital,Private Equity,12.835499999999998
893,2017-04-17,navia life care,Technology,Health Technology platform,New Delhi,benori,Seed Funding,0.0
894,2017-04-17,raw pressery,Food & Beverages,Raw Pressed Juices manufacturer,Mumbai,jacqueline fernandez,Seed Funding,0.0
895,2017-04-17,snackible,Food & Beverages,Healthy Snacks manufacturer,Mumbai,nibhrant shah anandbir singh anirudh sheth pratik singhi vikram mehta murali nair,Seed Funding,1.497475
